Comapay,Position,Primary Skill,Location,Experience,Other Skills,Date
Luxoft,Cloud Engineer,Cloud,Hyderabad,6-10,"['Cloud', 'Python', 'OpenShift']",01-12-2023
OrangeMantra,Python Developer,Python,Bangalore,3-8,"['Python', 'Django', 'Flask']",27-11-2023
Revolancer LTD,Software Developer,Java,Hyderabad,1-9,"['Java', 'Python', 'Node.js']",01-12-2023
Kanary Staffing Pvt. Ltd.,Azure Data Engineer/Lead Engineer,Azure,Anywhere in India/Multiple Locations,5-12,"['Azure', 'Python', 'SQL']",30-11-2023
Azul Systems India Pvt Ltd,Software Quality Engineer,SDET,Anywhere in India/Multiple Locations,3-5,"['SDET', 'Java', 'Software Quality Assurance']",30-11-2023
Jobtrix,Software Development Engineer I/II/III,Python,Bangalore,4-6,"['Python', 'Microservices Architecture', 'Java']",29-11-2023
Trendlyne,Software Engineer/Senior Engineer,Python,Bangalore,2-8,"['Python', 'Django']",29-11-2023
Trendlyne,Lead Full Stack Engineer,Full Stack,Noida,4-12,"['Full Stack', 'Python', 'Django']",29-11-2023
Acumont Solutions Private Limited,SOA Engineer,SOA,Bangalore,3-8,"['SOA', 'PHP', 'Node.js']",29-11-2023
IBM,AI Engineer,Artificial Intelligence,Gurgaon/Gurugram,1-10,"['Artificial Intelligence', 'NLP', 'Python']",30-11-2023
Expedient Healthcare Marketing Pvt. Ltd.,Data Scientist,Python,Pune,2-4,"['Python', 'SQL', 'Machine Learning']",29-11-2023
Capgemini,AWS/Python Developer,AWS,Gurgaon/Gurugram,5-10,"['AWS', 'Python', 'CloudFormation']",16-11-2023
FabHotels,Machine Learning Engineer,Machine Learning,Gurgaon/Gurugram,3-5,"['Machine Learning', 'Artificial Intelligence', 'Python']",23-11-2023
CollegeDekho,Senior Data Scientist,Data Analytics,Delhi NCR,5-8,"['Data Analytics', 'Data Scientist', 'Python']",17-11-2023
Magicpin,Backend Developer,Python,Gurgaon/Gurugram,1-4,"['Python', 'Java', 'Data Structure']",06-11-2023
WedMeGood,Software Development Engineer III/Backend Developer/Technical Architect,Python,Anywhere in India/Multiple Locations,5-10,"['Python', 'Java', 'C++']",03-11-2023
Finoit Technologies,Python Engineer,Python,Anywhere in India/Multiple Locations,2-5,"['Python', 'Django', 'MySQL']",30-11-2023
Finoit Technologies,Python Engineer,Python,Any Location,3-5,"['Python', 'Django', 'MySQL']",30-11-2023
HCL Technologies,Python Developer,Python,Bangalore,3-6,"['Python', 'Django', 'Flask']",30-11-2023
Minions Ventures Pvt Ltd,Python Developer,Machine Learning,Bangalore,4-6,"['Machine Learning', 'Data Science', 'Python']",17-11-2023
Minions Ventures Pvt Ltd,Python Developer,Python,Mumbai,4-6,"['Python', 'Machine Learning', 'Data Pipeline']",09-11-2023
exponentia,GCP Data Engineer,Google Cloud Platform,Bangalore,3-6,"['Google Cloud Platform', 'BigQuery', 'SQL']",01-12-2023
Robosoft Technologies,Senior Data Analyst,Python,Bangalore,5-10,"['Python', 'SQL', 'Data Analytics']",01-12-2023
Robosoft Technologies,Senior Data Analyst,Data Analyst,Gurgaon/Gurugram,10-15,"['Data Analyst', 'SQL', 'Python']",29-11-2023
CoverStack Technologies,Senior Backend Developer,Python,Bangalore,5-10,"['Python', 'Django', 'SQL']",29-11-2023
Minions Ventures Pvt Ltd,Software Development Engineer II,Python,Trivandrum/Thiruvananthapuram,4-5,"['Python', 'Microservices Architecture', 'Machine Learning']",24-11-2023
Beato,Data Analyst/Senior Data Analyst,Data Analytics,Gurgaon/Gurugram,0-6,"['Data Analytics', 'Data Analyst', 'Machine Learning']",27-11-2023
AppsforBharat,Product Analyst,MySQL,Chennai,1-5,"['MySQL', 'Product Analyst', 'SQL']",22-11-2023
Chalo,Data Analyst,Data Analyst,Cochin/Kochi,3-15,"['Data Analyst', 'Data Analytics', 'Python']",22-11-2023
Trademo,Senior Backend Engineer,Python,Mumbai,2-6,"['Python', 'Django', 'ElasticSearch']",22-11-2023
M2P Fintech,Data Engineer,Python,Jaipur,1-4,"['Python', 'Big Data', 'Scala']",17-11-2023
Entri.app,Backend Developer,API,Anywhere in India/Multiple Locations,1-3,"['API', 'Python', 'Django']",10-11-2023
IDFY,Senior Full Stack Engineer,Full Stack,Gurgaon/Gurugram,3-6,"['Full Stack', 'MERN Stack', 'Python']",09-11-2023
Aricent,Python Developer,Python,Mumbai,2-18,"['Python', 'Backend Architecture', 'Frontend Architecture']",01-12-2023
Dotflick Solutions,Python Developer,Python,Anywhere in India/Multiple Locations,2-10,"['Python', 'Django', 'Flask']",01-12-2023
Kaabil Finance,Python Developer,Python,Gurgaon/Gurugram,2-4,"['Python', 'Numpy', 'Pandas']",01-12-2023
MP,Python Developer,Python,Bangalore,3-6,[],01-12-2023
Mobifly,Python Developer,Flask,Bangalore,2-4,[],30-11-2023
Intelli Swift,Python Architect,Python,Anywhere in India/Multiple Locations,10-15,"['Python', 'Python Architect', 'Django']",30-11-2023
Aexonic Technologies Private Limited,Python Developer,Python,Anywhere in India/Multiple Locations,3-6,"['Flask', 'API']",30-11-2023
Mobifly,Python Intern,Python,Anywhere in India/Multiple Locations,0-1,"['Python', 'Django', 'Pandas']",30-11-2023
Mobifly,Python Developer,Python,Anywhere in India/Multiple Locations,2-5,"['Python', 'Flask', 'AWS']",30-11-2023
Wits Innovation Lab,Python Developer,Python,Gurgaon/Gurugram,3-5,"['Python', 'Django', 'PostgreSQL']",30-11-2023
Wits Innovation Lab,Python Developer,Python,Pune,3-7,"['Python', 'Django']",30-11-2023
Deqode,Python Developer,Python,Anywhere in India/Multiple Locations,7-8,"['Python', 'AWS', 'Javascript']",29-11-2023
Forward eye technologies,Python Developer,Python,Others,6-12,"['Python', 'Web Scraping', 'C#']",29-11-2023
Aviso AI,Aviso AI,Python,Anywhere in India/Multiple Locations,3-5,"['Python', 'OOPS']",29-11-2023
Forward Eye Technology,Python Developer,Python,Anywhere in India/Multiple Locations,6-12,"['Python', 'Scrapy', 'Web Scraping']",29-11-2023
Kodehash Technologies Pvt Ltd,Python Developer,Python,Anywhere in India/Multiple Locations,5-10,"['Python', 'Full Stack', 'Django']",29-11-2023
Persistent Systems,Python Developer,Python,Anywhere in India/Multiple Locations,4-6,"['Python', 'Django', 'Flask']",29-11-2023
Aviso AI,Senior Backend Developer,Python,Ahmedabad,7-12,"['Python', 'Django', 'MongoDB']",29-11-2023
Java R&D,Python Developer,Python,Anywhere in India/Multiple Locations,4-10,"['Python', 'Backend Architecture', 'Django']",29-11-2023
Doctus Tech,Senior Python Developer,Python,Gurgaon/Gurugram,6-8,"['Python', 'Django']",30-11-2023
Emorphis Technologies,Python/Django Developer,Python,Hyderabad,4-7,[],30-11-2023
Optivalue tek consulting,Python Technical Lead,Python,Bangalore,5-10,"['Python', 'AWS', 'Django']",30-11-2023
Secret Technologies India (VMS Group),Python Developer,Python,Anywhere in India/Multiple Locations,0-4,[],28-11-2023
U-SET,Python Backend Engineer,Python,Noida,4-6,"['Python', 'Backend Architecture', 'Django']",29-11-2023
Aricent,Python Programmer,Python,Bangalore,3-22,"['Python', 'MySQL', 'Flask']",28-11-2023
Optivalue tek consulting,Python Technical Lead,Python,Anywhere in India/Multiple Locations,5-15,"['Python', 'Django', 'Flask']",29-11-2023
Optivalue tek consulting,Python Technical Lead,Python,Mumbai,5-7,"['Python', 'Django', 'Flask']",30-11-2023
Marktine Technology Solutions,Full Stack Developer,Python,Navi Mumbai,5-8,"['Python', 'AngularJS', 'Node.js']",29-11-2023
Moon Technolabs,Senior Python Developer,Python,Bangalore,3-7,"['Python', 'Django', 'Flask']",29-11-2023
Optivalue tek consulting,Python Technical Lead,Python,Mumbai,4-16,"['Python', 'AWS', 'Cloud Services']",29-11-2023
Aricent,Full Stack Python Developer,Python,Hyderabad,2-10,"['Python', 'Full Stack', 'Django']",29-11-2023
Annex India,Python Developer,Python,Hyderabad,0-7,"['Python', 'Django', 'Flask']",27-11-2023
Annex India,Python Software Developer,Python,Mumbai,1-5,"['Python', 'PySpark', 'Django']",28-11-2023
HuQuo Consulting Pvt. Ltd.,Python Developer,Big Data,Bangalore,3-8,"['Python', 'SQL Server', 'OOAD']",25-11-2023
Huquo,Python Developer/Lead Assistant Manager,SQL,Anywhere in India/Multiple Locations,4-8,"['Python', 'OOAD']",25-11-2023
E-Qube Digital Services,Backend Developer,Python,Anywhere in India/Multiple Locations,4-8,"['Python', 'OOPS', 'MySQL']",01-12-2023
Mobile Programming Pvt LTd,Platform Engineer,Full Stack,Anywhere in India/Multiple Locations,3-6,"['Python', 'Tableau', 'CI/CD Pipeline']",01-12-2023
SPMR Advisors Pvt Ltd,Senior Data Engineer,Data Management,Pune,5-9,"['Big Data', 'Data Analytics', 'Data Pipeline']",01-12-2023
Solutionec Private Limited,Data Analyst,Full Stack,Gurgaon/Gurugram,6-11,"['SQL', 'R', 'SAS']",01-12-2023
Quantum Corporation,Software Engineer,Data Pipeline,Gurgaon/Gurugram,5-15,"['Python', 'Perl', 'C++']",01-12-2023
Meetri Infotech,Senior Full Stack Developer,Solution Architect,Mumbai,3-6,"['Full Stack', 'Python', 'React.js']",01-12-2023
Marktine Technology Solutions,Data Engineer,Data Scientist,Hyderabad,5-7,"['Data Management', 'Python', 'Java']",30-11-2023
Quantum Corporation,Full Stack Developer,Python,Bangalore,4-10,"['Full Stack', 'Python', 'Golang']",01-12-2023
Aezion.Inc,Senior Data Engineer,Java,Bangalore,7-20,"['Data Pipeline', 'Azure', 'Azure Data Factory']",01-12-2023
Nvent.com,Software Architect,Python,Pune,7-12,"['Solution Architect', 'Java', 'Python']",30-11-2023
Morning Star,Senior Data Scientist,Java,Bangalore,5-8,"['Data Scientist', 'Data Science', 'Tensorflow']",30-11-2023
SUREKHA TECHNOLOGIES PRIVATE LIMITED,Senior Odoo Developer,Data Science,Anywhere in India/Multiple Locations,4-8,"['Python', 'Odoo', 'ERP']",29-11-2023
Strategic Talent Partner,Software Engineer,Snowflake DB,Anywhere in India/Multiple Locations,4-6,"['Java', 'Python', 'PowerShell']",29-11-2023
U-SET,Software Engineer,Node.js,Hyderabad,4-6,"['Python', 'Flask', 'Django']",29-11-2023
makevisionsoutsourcing,Software Developer,CAN,Anywhere in India/Multiple Locations,5-6,"['Java', 'SQL', 'Python']",29-11-2023
Mk Group,Data Scientist,Python,Anywhere in India/Multiple Locations,5-8,"['Data Science', 'Data Scientist', 'Azure']",29-11-2023
La'Gran Software Solutions,Data Engineer Lead/Architect,Python,Others,6-8,"['Snowflake DB', 'ETL', 'Python']",30-11-2023
GrayMatrix,Node.js Developer,Data Pipeline,Gurgaon/Gurugram,3-6,"['Node.js', 'Javascript', 'React.js']",30-11-2023
Volvo India Pvt.Ltd,Senior ESW Application Engineer,Python,Jaipur,6-11,"['CAN', 'Python', 'Embedded System']",29-11-2023
Live Connections,Azure Data Engineer,Big Data,Dehradun,6-10,"['Python', 'PySpark', 'Azure Data Factory']",29-11-2023
Zania.ai,Senior/Lead Software Engineer,Python,Hyderabad,6-10,['Python'],29-11-2023
Milestone Inc,Staff Data Engineer,Big Data,Mysore,8-12,"['Data Pipeline', 'Data Infrastructure', 'Big Data']",29-11-2023
Aviso AI,Software Engineer,Python,Anywhere in India/Multiple Locations,3-6,"['Python', 'OOPS', 'API Integration']",29-11-2023
U-SET,Big Data Engineer,Odoo,Bangalore,5-8,"['Big Data', 'Hadoop', 'Spark']",29-11-2023
Briq,Senior Full Stack Engineer,Python,Gurgaon/Gurugram,5-7,"['Python', 'Django', 'Flask']",29-11-2023
Huquo,Big Data Engineer/Manager,Machine Learning,Gurgaon/Gurugram,5-7,"['Big Data', 'ETL', 'Data Management']",29-11-2023
ClicFlyer,Senior Analyst,AWS,Mumbai,4-7,"['Python', 'Power BI', 'BigQuery']",29-11-2023
Oodles Technology,Odoo Developer,Azure Data Factory,Gurgaon/Gurugram,0-3,"['Odoo', 'Python']",29-11-2023
Sapat International Pvt Ltd,Backend Developer,C++,Mumbai,3-6,"['Python', 'Django', 'Ruby on Rails']",29-11-2023
Navtech (Navaratan Technologies Pvt. Ltd),Machine Learning Engineer,Java,Hyderabad,1-5,"['Machine Learning', 'Python', 'NLP']",29-11-2023
CGI,AWS Data Engineer,Data Analyst,Gurgaon/Gurugram,4-10,"['AWS', 'Python']",29-11-2023
CGI,Azure Data Engineer,Full Stack,Chennai,4-10,"['Azure Data Factory', 'Azure Databricks', 'Azure Data Studio']",29-11-2023
Persistent Systems,C++ Developer,Java,Bangalore,4-6,"['C++', 'C', 'Python']",29-11-2023
Ximkart,Software Development Engineer,SQL,Mumbai,1-2,"['Java', 'Python', 'C++']",29-11-2023
Pixel,Data Analyst,Azure,Coimbatore,1-6,"['Data Analyst', 'Python', 'Tableau']",28-11-2023
TEBillion Systems Pvt Ltd.,Full Stack Engineer,Artificial Intelligence,Anywhere in India/Multiple Locations,3-7,"['Full Stack', 'Python', 'Javascript']",28-11-2023
Test Triangle,Azure Data Engineer,Google Cloud Platform,Gurgaon/Gurugram,4-9,[],28-11-2023
Simform,Full Stack Developer,Python,Anywhere in India/Multiple Locations,2-8,"['Java', '.Net', 'Python']",28-11-2023
Mouri Tech (P) Ltd,Senior Analytics Engineer,C++,Mumbai,8-12,"['SQL', 'Data Modeling', 'Data Warehousing']",28-11-2023
Sight Spectrum,Azure Data Engineer,Software Quality Assurance,Bangalore,5-10,"['Azure', 'Python', 'Data Pipeline']",28-11-2023
PamTen Software Solutions Private Limited,AI/ML Developer,Full Stack,Bangalore,4-8,"['Artificial Intelligence', 'Machine Learning', 'Python']",28-11-2023
Talent join,GCP Data Engineer,Django,Anywhere in India/Multiple Locations,5-10,"['Google Cloud Platform', 'Data Analytics', 'Data Migration']",28-11-2023
Mouri Tech (P) Ltd,Data Engineer,Python,Anywhere in India/Multiple Locations,5-10,"['Python', 'SQL', 'Spark']",28-11-2023
Swfi,Machine Learning Engineer,Machine Learning,Anywhere in India/Multiple Locations,4-8,"['C++', 'Python', 'Tensorflow']",28-11-2023
GM WARE,Quality Assurance Automation Engineer,Data Science,Bangalore,3-5,"['Software Quality Assurance', 'Testing', 'Automation Testing']",28-11-2023
Talent Integrators,Full Stack Data Scientist,C++,Bangalore,5-6,"['Full Stack', 'Data Scientist', 'Data Science']",28-11-2023
Annex India,Django Developer,Backend Architecture,Anywhere in India/Multiple Locations,2-12,"['Django', 'Flask', 'Python']",27-11-2023
PAR Tech India,Senior Machine Learning Engineer,Data Science,Mumbai,6-10,"['Python', 'Django', 'Flask']",01-12-2023
Acelucid Technologies,Machine Learning Engineer,Data Analyst,Pune,4-7,"['Machine Learning', 'Python', 'Spark']",28-11-2023
Aricent,Data Science Analyst,SQL,Bangalore,3-18,"['Data Science', 'Data Analyst', 'SQL']",27-11-2023
Oceaneering International Services Limited,Senior Application Software Engineer,Python,Anywhere in India/Multiple Locations,4-10,"['C++', 'Python', 'C++11']",27-11-2023
Atai Labs,Backend Engineer,Java,Pune,4-10,"['Backend Architecture', 'Python', 'Django']",27-11-2023
Test Triangle,Data Scientist,Python,Bangalore,0-5,"['Data Science', 'Data Scientist', 'Machine Learning']",26-11-2023
Test Triangle,Data Analyst,Python,Chennai,0-8,"['Data Analyst', 'Data Analytics', 'SQL']",26-11-2023
Huquo,Data Architect,Kafka,Hyderabad,10-15,"['SQL', 'Python', 'Data Architect']",25-11-2023
Huquo,ETL Developer,Data Science,Bangalore,5-8,"['Python', 'SQL', 'ETL']",25-11-2023
BXP SUPPORT AND SOLUTIONS PVT LTD,Tech Lead,API,Bangalore,5-8,"['Java', 'Python', 'Solution Implementation']",25-11-2023
HuQuo Consulting Pvt. Ltd.,Data Engineer,SQL,Gurgaon/Gurugram,3-8,"['Python', 'Hadoop', 'SQL']",25-11-2023
Huquo,Middleware Engineer,Automation Testing,Gurgaon/Gurugram,5-7,"['Python', 'Flask', 'OOPS']",25-11-2023
EXPRESS EMPLOYMENT CONSULTANCY SERVICES.,Kafka Developer,Python,Bangalore,4-7,"['Kafka', 'Confluent Kafka', 'Informatica']",25-11-2023
Patel family Office,Senior Data Scientist,Hadoop,Anywhere in India/Multiple Locations,6-17,"['Data Science', 'Data Scientist', 'Data Analytics']",25-11-2023
Huquo,Data Engineer,Azure Databricks,Anywhere in India/Multiple Locations,2-7,[],25-11-2023
Aivoks Technologies Pvt. Ltd.,Full Stack Developer,Data Modeling,Hyderabad,2-7,"['API', 'Node.js', 'Javascript']",25-11-2023
HuQuo Consulting Pvt. Ltd.,Analytics Manager,Data Scientist,Bangalore,3-8,"['SQL', 'Python', 'Power BI']",25-11-2023
HuQuo Consulting Pvt. Ltd.,Manger/Senior Manager,Testing,Gurgaon/Gurugram,3-8,"['Automation Testing', 'Testing', 'Selenium']",25-11-2023
Huquo,Machine Learning Engineer,Python,Mumbai,2-7,[],25-11-2023
Huquo,Senior Data Engineer,Python,Bangalore,5-9,"['Python', 'PySpark', 'Azure Databricks']",25-11-2023
Huquo,Senior Lead Data Engineer,Python,Rajkot,8-12,"['Hadoop', 'Spark', 'ETL']",25-11-2023
Huquo,Databricks Solutions Architect,Python,Bangalore,7-10,"['Azure Databricks', 'Solution Architect', 'PySpark']",25-11-2023
Huquo,Data Engineer,Python,Bangalore,3-6,"['Data Modeling', 'Erwin', 'Data Warehousing']",25-11-2023
Sashr Consultants,Data Scientist,Python,Bangalore,10-15,"['Data Scientist', 'Data Science', 'Python']",25-11-2023
Test Triangle,Test Automation Engineer,Python,Kolkata,2-5,"['Testing', 'Automation Testing', 'Python']",25-11-2023
Huquo,AWS Data Engineer/Senior Manager,Python,Any Location,8-12,"['Python', 'PySpark', 'ETL']",25-11-2023
Rishvaware Technologies Pvt Ltd,Python Developer,Python,Anywhere in India/Multiple Locations,3-5,"['Python', 'RDBMS', 'Microservices Architecture']",23-11-2023
Test Triangle,Python Developer,Python,Any Location,1-25,"['Python', 'Django', 'AWS']",22-11-2023
Tentacle Technologies,Python Artificial Intelligence Engineer,Python,Bangalore,5-10,"['Python', 'Artificial Intelligence', 'NLP']",24-11-2023
Deqode,Python Developer,Python,Bangalore,3-6,"['Python', 'Django', 'Flask']",21-11-2023
Deqode,Python Developer,Python,Navi Mumbai,2-4,"['Python', 'Backend Architecture', 'Django']",21-11-2023
THIRE GLOBAL SERVICES PRIVATE LIMITED,Python Developer,Python,Gurgaon/Gurugram,2-3,"['Python', 'Django', 'Flask']",21-11-2023
Deqode,Python Developer,Python,Hyderabad,4-8,"['Python', 'MySQL', 'Django']",21-11-2023
LiquiLoans,Lead Python Developer,Python,Anywhere in India/Multiple Locations,5-10,"['Python', 'Numpy', 'Pandas']",23-11-2023
Squash Apps Private limited,Python/React.js Developer,Python,Delhi NCR,6-10,"['Python', 'React.js', 'Javascript']",23-11-2023
Vinove,Python Developer,Python,Gurgaon/Gurugram,6-8,"['Python', 'Full Stack', 'Microservices Architecture']",21-11-2023
Buzzhire,Lead Python Developer,Python,Bangalore,6-10,"['Python', 'Distributed Systems']",22-11-2023
Sgs technical service Pvt ltd,Python Developer,Python,Anywhere in India/Multiple Locations,1-5,"['Python', 'Django', 'Flask']",20-11-2023
3i-infotech,Python Developer,Python,Mumbai,4-6,"['Python', 'Django', 'Flask']",20-11-2023
THIRE GLOBAL SERVICES PRIVATE LIMITED,Python Developer,Python,Hyderabad,2-5,"['Python', 'Django', 'Flask']",20-11-2023
Invitas,Python/Golang/Flask Developer,Python,Bangalore,4-8,"['Python', 'Golang', 'Flask']",22-11-2023
Vithamas Technologies Private Limited,Python/Django Developer,Python,Any Location,1-3,"['Python', 'Django', 'MySQL']",22-11-2023
Sifars,Python Developer,Python,Mumbai,5-8,"['Python', 'Javascript', 'Django']",20-11-2023
Forward eye technologies,Python Developer,Python,Bangalore,6-12,"['Python', 'C#', 'Web Scraping']",20-11-2023
Spurtree technologies,Lead Python Full Stack Developer,Python,Mumbai,6-15,"['Python', 'Full Stack', 'Javascript']",22-11-2023
Patch Infotech Private Limited,Python/Golang Developer,Python,Delhi NCR,4-9,"['Python', 'Golang', 'MySQL']",21-11-2023
Forward Eye Technology,Senior Python Developer,Python,Delhi,6-12,"['Python', 'Javascript', 'Scrapy']",20-11-2023
Quantiphi,Platform/Python Developer,Software Quality Assurance,Mumbai,3-6,"['Python', 'C', 'C++']",20-11-2023
Agile Soft Systems Inc,Python & Django Developer,Azure,Jaipur,5-7,"['Python', 'Django', 'RESTful API']",20-11-2023
Discoveries Quintessential Pvt Ltd,Senior Python Developer,Backend Architecture,Delhi NCR,5-7,"['Python', 'Django', 'Flask']",18-11-2023
Leuwint Technologies,Python Developer,Data Management,Navi Mumbai,4-10,"['Python', 'Django']",17-11-2023
eSthenos Technologies Pvt Ltd,Senior Python Developer,Python,Bangalore,4-6,"['Python', 'Django', 'Flask']",17-11-2023
EXPRESS EMPLOYMENT CONSULTANCY SERVICES.,AWS/Python Developer,Azure,Gurgaon/Gurugram,3-7,"['Python', 'AWS', 'Node.js']",17-11-2023
GIGMO SOLUTIONS PVT LTD,Python/Full Stack Developer,Data Science,Anywhere in India/Multiple Locations,2-10,"['Python', 'Django', 'ORM']",17-11-2023
Annex India,Test Engineer,Python,Anywhere in India/Multiple Locations,0-9,"['Software Quality Assurance', 'Python', 'Testing']",24-11-2023
Live Connections,Data Engineer,Python,Chandigarh,3-5,"['Azure', 'Hadoop', 'Spark']",24-11-2023
Presence Education,Data Analyst,Data Analytics,Chandigarh,1-7,[],24-11-2023
Ventura Securities Ltd.,Backend Developer,Full Stack,Bangalore,3-4,"['Backend Architecture', 'Python', 'SQL']",23-11-2023
e-solutions,Data Engineer,Artificial Intelligence,Kerala,10-14,"['Data Management', 'Google Cloud Platform', 'BigQuery']",23-11-2023
