Comapay,Position,Primary Skill,Location,Experience,Other Skills,Date
Cambay Consulting,Python Developer,Python,Noida,3-4,"['Python', 'Django', 'Flask']",21-10-2023
Wits Innovation Lab,Python Developer,Python,Bangalore,4-8,"['Python', 'System Design']",19-10-2023
SEANERGY DIGITAL SERVICES PVT LTD,Lead Python Developer,Python,Chennai,7-12,"['Python', 'Django', 'Flask']",01-11-2023
Aexonic Technologies Private Limited,Python Developer,Python,Bangalore,1-3,"['Python', 'Flask', 'Computer Vision']",20-10-2023
Kodehash Technologies Pvt Ltd,Python Developer,Python,Metros,3-6,"['Python', 'Django', 'AngularJS']",20-10-2023
Nstarx India Private Limited,Python Full Stack Developer,Python,Anywhere in India/Multiple Locations,5-15,"['Python', 'Django', 'Flask']",30-10-2023
Spurtree technologies,SpurTree Technologies,Full Stack,Pune,7-15,"['Python', 'Full Stack', 'Javascript']",31-10-2023
Digi Upaay Solutions Pvt. Ltd,Python Developer,Python,Bangalore,3-5,"['Python', 'Django', 'Flask']",17-10-2023
SEANERGY DIGITAL SERVICES PVT LTD,Python Developer,Python,Bangalore,4-6,"['Python', 'Django', 'Flask']",13-10-2023
Deqode,Python Developer,Python,Pune,4-6,"['Python', 'Django', 'Flask']",11-10-2023
1E9 Advisors,null,Python,Gurgaon/Gurugram,1-5,"['Python', 'Django', 'Flask']",25-10-2023
Hiteshi Infotech Pvt. Ltd.,Python AI Developer,Python,Bangalore,1-2,"['Python', 'Artificial Intelligence', 'Django']",26-10-2023
Tiger Analytics,Python Quality Engineer,Python,Anywhere in India/Multiple Locations,3-7,"['Testing', 'PyTest', 'Python']",27-10-2023
IT Company,Python Developer,Python,Noida,2-5,"['Python', 'Flask', 'MongoDB']",11-10-2023
Unojobs,Python Developer,Python,Bangalore,2-3,"['MySQL', 'PostgreSQL', 'MongoDB']",10-10-2023
NLB Services,Python Developer,Python,Bangalore,5-10,"['Python', 'Google Cloud Platform', 'Cloud Services']",13-10-2023
Nirmitee.io,Nirmitee.io,Python,Pune,3-5,"['Python', 'SQL', 'Django']",11-10-2023
Collance Technologies,Python Developer,Python,Bangalore,3-8,"['Python', 'Flask', 'RESTful API']",12-10-2023
COFORGE,Python Developer,Python,Anywhere in India/Multiple Locations,5-8,"['Python', 'Django', 'Google Cloud Platform']",11-10-2023
Softnice,Python Developer,Python,Hyderabad,2-4,"['Python', 'Django', 'Flask']",11-10-2023
Tiger Analytics,Python Full Stack Engineer,Python,Hyderabad,3-7,"['Python', 'Numpy', 'Pandas']",27-10-2023
Anand Rathi Group,Python Developer,Python,Hyderabad,2-4,"['Python', 'Numpy', 'Pandas']",10-10-2023
Machint Solutions Pvt Ltd,Senior Python Developer,Python,Bangalore,6-9,"['Python', 'Numpy', 'Django']",21-10-2023
Deqode,Python Developer,Python,Bangalore,4-6,"['Python', 'Django', 'Flask']",05-10-2023
M/s Bpk Tech Services India Pvt Ltd,Python Developer,Python,Hyderabad,5-9,"['Python', 'Flask', 'Django']",06-10-2023
Talent500,Technical Lead,Python,Bangalore,2-6,"['Python', 'AWS', 'MySQL']",16-10-2023
Cambay Healthcare LLC,Senior Python Developer,Django,Others,4-8,"['Python', 'Django', 'Flask']",20-10-2023
Deqode,Python Developer,Python,Bangalore,4-7,"['Python', 'Django', 'Flask']",04-10-2023
Innovatily Pvt. Ltd,Senior Python Developer,Python,Anywhere in India/Multiple Locations,5-7,"['Python', 'Apache Airflow', 'PostgreSQL']",19-10-2023
Successive Technologies,Python Developer,Flask,Anywhere in India/Multiple Locations,6-9,"['Python', 'Django', 'RDBMS']",05-10-2023
XTENTEAM SOLUTIONS LLP,Python Full Stack Developer,Python,Navi Mumbai,3-8,"['Python', 'Full Stack', 'MongoDB']",16-10-2023
ClientServer Solutions Pvt. Ltd,Python Developer,Python,Hyderabad,5-8,"['Python', 'Flask', 'REST API']",06-10-2023
Builder.ai,Senior Software Engineer,Python,Bangalore,4-7,"['Full Stack', 'Solution Design', 'Java']",14-10-2023
SkillRecruits,null,Python,Bangalore,1-3,"['Python', 'Application Designing', 'Applications Implementation']",29-09-2023
Ama,Python Developers,Python,Bangalore,5-10,"['Python', 'Data Structure', 'Algorithm']",03-10-2023
ClientServer Solutions Pvt. Ltd,Python Developer,Python,Anywhere in India/Multiple Locations,5-7,"['Python', 'Flask', 'PL-SQL']",06-10-2023
Looper Development Sevices,Python Developer,Python,Anywhere in India/Multiple Locations,3-5,"['Python', 'Data Structure', 'Algorithm']",26-10-2023
Arting Digital,Python Developer,Python,Anywhere in India/Multiple Locations,3-6,"['Python', 'Flask']",30-09-2023
People Gamut HR Solutions,Python Developer,Python,Anywhere in India/Multiple Locations,2-7,"['Python', 'Django', 'Flask']",29-09-2023
Takeleap,Python Test Engineer,Python,Bangalore,1-1,"['Python', 'Testing', 'Automation Testing']",11-10-2023
Takeleap,Python Test Engineer,Python,Anywhere in India/Multiple Locations,1-3,"['Python', 'Testing', 'Software Quality Assurance']",12-10-2023
Thryve Digital,Thryve Digital,Machine Learning,Pune,4-6,"['Python', 'Solution Implementation']",27-09-2023
Vikgol,Python Developer,Python,Pune,2-3,"['Python', 'Server Side Component', 'Django']",27-09-2023
Cloud Hire,Python Developer,Python,Pune,5-8,"['Python', 'Flask', 'Django']",25-09-2023
Excelra Knowledge Solutions,Python Developer,Python,Hyderabad,4-6,"['Python', 'Server Side Component', 'SQL']",27-09-2023
Zapbuild Technologies Pvt.Ltd.,Senior Python Developer,Python,Anywhere in India/Multiple Locations,5-10,"['Python', 'Django', 'Flask']",06-10-2023
Scry AI,Python Developer,Python,Mumbai,3-8,"['Python', 'Data Structure', 'Flask']",26-09-2023
DHANI,Dhani,Python,Bangalore,5-7,"['Python', 'API']",25-09-2023
ClientServer Solutions Pvt. Ltd,Senior Python Developer,Python,Bangalore,5-7,"['Python', 'Flask', 'Backend Architecture']",05-10-2023
koantek,Python Developer,Python,Pune,5-10,"['Python', 'Django', 'Data Structure']",26-09-2023
AALAM INFO SOLUTIONS LLP,Python Developer,Python,Bangalore,3-7,"['Python', 'Data Analytics', 'SQL']",25-09-2023
Cloud Hire,null,Python,Bangalore,3-5,"['Python', 'Testing', 'Automation Testing']",03-10-2023
Arting Digital,Python Developer,Python,Bangalore,3-6,"['Django', 'Python', 'AWS Lambda']",23-09-2023
Intellikart Ventures LLP,Senior Python Engineer,Python,Any Location,5-20,"['Python', 'Distributed Systems', 'Data Structure']",05-10-2023
Beamstacks,Senior Python/Data Analysis Engineer,Python,Hyderabad,3-6,"['Python', 'Data Analytics', 'Pandas']",13-10-2023
ClientServer Solutions Pvt Ltd,Senior Python Lead Developer,Python,Any Location,5-8,"['Flask', 'REST API', 'SQL']",04-10-2023
Hidden Brains Infotech,Senior Python Developer,Python,Hyderabad,6-12,"['Python', 'Django', 'Flask']",04-10-2023
Liquiloans,Lead Python Developer,Python,Bangalore,5-10,"['Python', 'Numpy', 'Pandas']",03-10-2023
Rishvaware Technologies Pvt Ltd,null,Python,Gurgaon/Gurugram,4-6,"['Python', 'Node.js', 'Full Stack']",29-09-2023
Vrinsoft,Python Developer,Python,Mumbai,3-7,"['Python', 'Django', 'Flask']",20-09-2023
NEW MEDIA GURU INDIA PVT LTD,Senior Python Developer,Python,Navi Mumbai,4-9,"['Python', 'Django', 'Flask']",27-09-2023
BestPeers Infosystem Pvt. Ltd.,Python Developer,Python,Anywhere in India/Multiple Locations,3-4,"['Python', 'Application Integration', 'Django']",15-09-2023
CODNEXT IT,Python Lead Developer/Architect,Python,Hyderabad,7-11,"['Python', 'Django', 'Flask']",25-09-2023
ClientServer Solutions Pvt. Ltd,Python Developer,Python,Gurgaon/Gurugram,6-8,"['Python', 'Django', 'Flask']",14-09-2023
Awign,Python Developer,Flask,Others,4-8,"['Python', 'Django', 'REST API']",14-09-2023
UST Product Engineering,Python Developer,Python,Hyderabad,6-9,"['Python', 'Data Modeling', 'Data Analytics']",14-09-2023
SutraHR,Python Backend Developer,Python,Bangalore,5-10,"['Python', 'WebAPI', 'SQL']",21-09-2023
Sampoorna Consultants Pvt. Ltd,Python Consultant,Python,Pune,4-7,"['Machine Learning', 'Python', 'SQL']",14-09-2023
Tarams Software Technologies Private Limited,Python Developer,Python,Bangalore,4-7,"['Python', 'Django', 'RDBMS']",15-09-2023
Test Triangle,Python Full Stack Developer,Python,Anywhere in India/Multiple Locations,0-9,"['Python', 'Full Stack', 'Django']",23-09-2023
Acma Computers Ltd,Python Developer,Python,Anywhere in India/Multiple Locations,3-6,"['Python', 'AWS', 'Javascript']",15-09-2023
SeaCross Recruitment Services,Golang/Python Developer,Python,Bangalore,5-15,"['Python', 'Golang', 'Angular 7']",22-09-2023
Huntingcube,Python Developer,Python,Mumbai,4-8,"['Python', 'Django', 'GraphQL']",12-09-2023
Zaisho consulting pvt ltd,Python Programmer,Python,Bangalore,6-9,"['Python', 'API', 'NLP']",19-09-2023
Unified Infotech Pvt. Ltd.,Lead Python Developer,Python,Anywhere in India/Multiple Locations,6-12,"['Python', 'Django', 'AWS']",20-09-2023
EDU ANGELS INDIA PVT LTD,Python Developer,Python,Anywhere in India/Multiple Locations,4-12,"['Python', 'Flask', 'API']",11-09-2023
Muoro,Python Developer,Python,Gurgaon/Gurugram,3-5,"['Python', 'Django', 'Flask']",11-09-2023
Reckonsys Tech Labs,Senior Python/Django Developer,Python,Bangalore,3-5,"['Python', 'Django', 'Flask']",20-09-2023
Embarckle LLP,Senior Python Developer,Python,Chennai,6-12,"['Python', 'Scrapy', 'Web Scraping']",19-09-2023
Discoveries Quintessential Pvt Ltd,Lead Python Developer,Java,Udaipur,7-11,"['Python', 'Django', 'Flask']",19-09-2023
Nouveau Labs Private Limited,Python/Artificial Intelligence Developer,Python,Bangalore,4-8,"['Python', 'Artificial Intelligence', 'Machine Learning']",21-09-2023
Forward Eye Technologies,Python Backend Engineer,Python,Gurgaon/Gurugram,8-12,"['Python', 'AWS', 'API Gateway']",18-09-2023
KS Smart Solutions,Python Developer,Flask,Bangalore,0-1,"['Python', 'Numpy', 'Internship']",08-09-2023
Looper Development Services Private Limited,Python Developer,Python,Noida,3-7,"['Python', 'OOPS', 'Data Structure']",09-09-2023
Marktine Technology Solutions,Python Web Developer,Python,Bangalore,5-8,"['Python', 'Django', 'Flask']",15-09-2023
ATIT Proficient,null,Python,Mumbai,3-5,"['Python', 'Automation Testing']",19-09-2023
Zapbuild technologies pvt.ltd.,Python Lead,Data Pipeline,Anywhere in India/Multiple Locations,4-10,"['Python', 'Django', 'Flask']",08-09-2023
Strategic HR Solutions,Python Automation Engineer,Django,Bangalore,5-10,"['Python', 'Automation Testing', 'Network Testing']",14-09-2023
AK Capital Services Ltd,Senior Python Developer,Django,Anywhere in India/Multiple Locations,5-11,"['Python', 'Django', 'MySQL']",14-09-2023
SESAT SOLUTIONS PRIVATE LIMITED,Senior Python Developer,ELK Stack,Bangalore,10-15,"['Python', 'System Design', 'System Architecture']",14-09-2023
KonnectNXt,Python Developer,Python,Pune,3-6,"['Flask', 'MongoDB', 'MySQL']",05-09-2023
TheModernDimension,Python Developer,Python,Bangalore,2-5,"['Python', 'Django']",05-09-2023
SeaCross Recruitment Services,null,Data Analyst,Dubai,5-10,"['Python', 'Solution Design', 'Server Side Component']",04-09-2023
Askria.ai,Backend Engineer,Python,Any Location,3-10,[],13-09-2023
Aricent Technologies,Full Stack Python Developer,Data Pipeline,Gurgaon/Gurugram,1-15,"['Python', 'Full Stack', 'AngularJS']",13-09-2023
ATS,Python Full Stack Developer,Python,Bangalore,1-15,"['Python', 'Full Stack', 'Django']",13-09-2023
Ellow.io,Python Developer,Machine Learning,Metros,3-7,"['Python', 'Django', 'Flask']",04-09-2023
Iresh7 consulting,Python Automation Core Network Engineer,Azure,Chennai,5-10,"['Python', 'Network Architecture', 'LTE']",19-09-2023
CIELHR,Python Full Stack Developer,Python,Bangalore,3-6,"['Python', 'Full Stack', 'Django']",12-09-2023
Robosoft Technologies,Python Developer,Data Science,Bangalore,5-8,"['Python', 'Django', 'Flask']",05-09-2023
Palni India Pvt. Ltd.,Python Backend Developer,Data Management,Bangalore,2-3,"['Python', 'Backend Architecture', 'Flask']",11-09-2023
Finoit,Python Developer,Artificial Intelligence,Bangalore,3-6,"['Python', 'Microservices Architecture', 'MongoDB']",05-09-2023
Opportunity One Step Solutions Private Limited,Python Developer,AWS,Bangalore,3-5,"['Python', 'Django', 'Flask']",04-09-2023
Mouri Tech (P) Ltd,Python Cloud Engineer,Java,Bangalore,7-12,"['Python', 'AWS', 'Azure']",11-09-2023
EDU ANGELS INDIA PVT LTD,Senior Python Developer,Python,Anywhere in India/Multiple Locations,4-9,"['Python', 'Django', 'Flask']",11-09-2023
Xpanxion International Pvt Ltd,Python Developer,Java,Anywhere in India/Multiple Locations,6-11,"['Python', 'Pandas', 'Data Modeling']",04-09-2023
TECHBUBBLE PTY LTD,Techbubble,Data Pipeline,MP,8-12,"['Java', 'Python']",07-09-2023
Looper Development Services Private Limited,Python Automation Core Network Engineer,Machine Learning,Chennai,5-10,"['Python', 'Network Testing', 'LTE']",16-09-2023
Mouri Tech (P) Ltd,Python Full Stack Developer,Python,Bangalore,6-15,"['Python', 'Full Stack', 'Django']",08-09-2023
EDU ANGELS INDIA PVT LTD,Python Full Stack Developer,Data Analytics,Chennai,3-9,"['Flask', 'MongoDB', 'RESTful API']",07-09-2023
Intern Easy,Python Full Stack Developer,AWS,Bangalore,1-5,"['Python', 'Django', 'Flask']",07-09-2023
Mouri Tech (P) Ltd,Lead Python Developer,Business Intelligence,Bangalore,8-15,"['Python', 'Django', 'Node.js']",05-09-2023
Mouri Tech (P) Ltd,Python Full Stack Developer,Snowflake DB,Gurgaon/Gurugram,5-10,"['Python', 'Full Stack', 'Node.js']",03-09-2023
The Media Ant,Data Engineer,Data Pipeline,Bangalore,2-3,"['Data Pipeline', 'Data Infrastructure', 'ETL']",01-11-2023
SAMTA INFOTECH PRIVATE LIMITED,Senior Developer,Full Stack,Bangalore,4-6,"['Django', 'Python', 'Java 8']",31-10-2023
RubyPy,Django Developer,Data Science,Gurgaon/Gurugram,2-5,"['Django', 'Flask', 'Python']",31-10-2023
Cloud Hire,ELK Developer,Python,Any Location,4-6,"['ELK Stack', 'MongoDB', 'Python']",30-10-2023
Sciative Solutions,Software Developer,Node.js,Mumbai,1-3,"['Python', 'MySQL', 'Django']",28-10-2023
Captum IT,Software Engineer,Machine Learning,Bangalore,5-10,"['Python', '.Net', 'Java']",27-10-2023
Hitya Global,Data Analyst,Data Science,Bangalore,2-3,"['Data Analyst', 'Product Analyst', 'Python']",26-10-2023
Cloud Hire,Data Engineer,Azure,Anywhere in India/Multiple Locations,4-7,[],23-10-2023
Falcon,Data Engineer,Azure Databricks,Hyderabad,4-8,"['Python', 'Java', 'Scala']",23-10-2023
Starkflow,Data Engineering Lead/Manager,Big Data,Bangalore,9-12,"['Data Pipeline', 'Python', 'Pandas']",01-11-2023
Valiance Analytics Pvt. Ltd.,Junior Software Engineer,AWS,Anywhere in India/Multiple Locations,0-1,"['Python', 'MySQL', 'Data Structure']",01-11-2023
Thinkdeeply Solutions Pvt Ltd,Machine Learning Engineer,Data Management,Bangalore,5-10,"['Machine Learning', 'Deep Learning', 'R']",01-11-2023
HI Tel Solutions,Azure Data Engineer,Python,Bangalore,10-15,"['Azure', 'SQL', 'Python']",01-11-2023
Infinite Group,Senior Backend Developer,Python,Bangalore,3-6,"['Python', 'Django', 'Backend Architecture']",01-11-2023
Eduonix Learning Solutions Pvt Ltd,Data Science Instructor,Full Stack,Ahmedabad,2-8,"['Data Science', 'Technical Training', 'R']",01-11-2023
Paralleldots,Senior Data Engineer,Python,Faridabad,5-7,"['Data Management', 'Data Governance', 'Data Modeling']",31-10-2023
TransOrg Analytics,Data Engineer,Python,Bangalore,3-5,[],31-10-2023
Matellio Inc.,AI/ML Engineer,Data Analytics,Anywhere in India/Multiple Locations,6-12,"['Artificial Intelligence', 'Machine Learning', 'Python']",31-10-2023
Coders Brain Technology & Private Limited,AWS Engineer,Data Science,Anywhere in India/Multiple Locations,7-15,"['AWS', 'Python', 'CloudFormation']",21-10-2023
whitetable.ai,Member of Technical Staff II,Big Data,Gurgaon/Gurugram,2-5,"['Java', 'Python']",30-10-2023
Suryavanshi Ventures PVT LTD,Backend Developer,Python,Others,5-10,"['Python', 'Node.js', 'Backend Architecture']",30-10-2023
V2SOFT INDIA,Senior Software Developer,Python,Hyderabad,6-10,"['Java', 'Python', 'Shell Scripting']",30-10-2023
e-Hireo,Data Engineer,Full Stack,Gurgaon/Gurugram,6-11,"['Data Pipeline', 'Python', 'Data Warehousing']",30-10-2023
whitetable.ai,Machine Learning Engineer,Full Stack,Pune,2-5,"['Machine Learning', 'Data Science', 'Tensorflow']",30-10-2023
talentxo,Full Stack Developer,Python,Anywhere in India/Multiple Locations,1-5,"['Python', 'Django', 'Full Stack']",30-10-2023
EsyConnect,Data Analyst,API,Hyderabad,0-9,"['Data Analytics', 'Data Mining', 'Data Management']",21-10-2023
Cloud Hire,AWS Data Engineer,Python,Anywhere in India/Multiple Locations,5-8,"['AWS', 'Python', 'SQL']",30-10-2023
Olive Trees Consulting,Senior Data Engineer,C++,Anywhere in India/Multiple Locations,4-6,"['Business Intelligence', 'Big Data', 'Azure Data Factory']",28-10-2023
Careator Technologies Pvt Ltd,Data Engineer,Golang,Hyderabad,4-10,"['Snowflake DB', 'Python', 'SQL']",19-10-2023
Flexiple,Data Engineer,Artificial Intelligence,Anywhere in India/Multiple Locations,3-6,"['Data Pipeline', 'ETL', 'Python']",19-10-2023
Atai Labs,Full Stack Engineer,ETL,Delhi NCR,4-10,"['Full Stack', 'Angular 2', 'Django']",27-10-2023
Intelligence Node,Data Scientist,Azure,Gurgaon/Gurugram,3-9,"['Data Science', 'Data Scientist', 'Python']",27-10-2023
WorkIndia,Software Development Engineer II,Data Management,Gurgaon/Gurugram,3-5,"['Python', 'Javascript', 'Golang']",27-10-2023
Flexiple,Backend Founding Engineer,Azure,Bangalore,1-6,"['Node.js', 'Python']",27-10-2023
Test Triangle,Machine Learning Engineer,AWS,Gurgaon/Gurugram,0-20,"['Machine Learning', 'Data Science', 'R']",27-10-2023
Ripik.ai,Data Scientist,AWS,Mumbai,1-4,"['Data Science', 'Data Scientist', 'Artificial Intelligence']",27-10-2023
Tamcherry Technologies,Azure Data Architect,Software Quality Assurance,Bangalore,10-15,"['Azure', 'Data Architect', 'DataLake']",27-10-2023
PeopleStrong,Lead Databricks Developer,ETL,Hyderabad,4-10,"['Azure Databricks', 'Spark', 'Python']",27-10-2023
HI Tel Solutions,Data Engineer,Data Science,Gurgaon/Gurugram,5-7,"['Big Data', 'Hadoop', 'Spark']",18-10-2023
EXL,Data Engineer,Artificial Intelligence,Kolkata,4-10,"['AWS', 'Python', 'Java']",26-10-2023
CODNEXT IT,Data Engineer,Java,Gurgaon/Gurugram,6-10,"['Data Management', 'Python', 'Scala']",18-10-2023
Sumanel Technology Ventures Pvt Ltd,Senior Backend Developer,Python,Hyderabad,2-5,"['Python', 'Django', 'RESTful API']",26-10-2023
TEKsystems,Senior Data Engineer,Data Infrastructure,Bangalore,5-10,"['Python', 'Spark', 'PySpark']",26-10-2023
AJMERA INFOTECH PRIVATE LIMITED,Senior Full Stack Developer,Backend Architecture,Hyderabad,5-10,"['Full Stack', '.Net', 'Node.js']",26-10-2023
Cloud Hire,Data Engineer,Python,Gurgaon/Gurugram,5-8,"['Python', 'Scala', 'Google Cloud Platform']",17-10-2023
Factwise,Junior Backend Developer,Python,Anywhere in India/Multiple Locations,0-1,"['Python', 'Django', 'AWS']",26-10-2023
Bobble.Ai,Senior Data Analyst,Python,Bangalore,3-6,"['Data Analytics', 'Data Analyst', 'SQL']",25-10-2023
Kadel Labs Private Limited,Data Scientist,Full Stack,Anywhere in India/Multiple Locations,10-16,"['Data Science', 'Data Scientist', 'R']",17-10-2023
Forward Eye Technology,Big Data Engineer,Python,Pune,6-10,"['Big Data', 'Python', 'Scala']",25-10-2023
Talent500,Software Backend Engineer,Python,Mumbai,6-8,"['Python', 'DB', 'SQL']",16-10-2023
Flexiple,Data Engineer,Spark,Anywhere in India/Multiple Locations,2-5,"['Python', 'Data Pipeline', 'Pandas']",16-10-2023
Numantra Technologies,Full Stack Developer,Big Data,Hyderabad,4-9,[],25-10-2023
Burgeon IT Services,Full Stack Developer,Python,Anywhere in India/Multiple Locations,10-14,"['Full Stack', 'Python', 'React.js']",25-10-2023
Aivoks Technologies Pvt. Ltd.,Full Stack Developer,Python,Anywhere in India/Multiple Locations,5-8,"['Full Stack', 'Python', 'Django']",23-10-2023
Numantra Technologies,Azure Developer,Data Science,Hyderabad,3-10,[],23-10-2023
VANTAGEIQ TECHNOLOGIES (OPC) PRIVATE LIMITED,Data Engineer,Big Data,Bangalore,5-7,"['Python', 'AWS', 'Data Management']",23-10-2023
ENNOVENTURE TECHNOLOGIES PRIVATE LIMITED,Intermediate/Senior Software Engineer,Machine Learning,Bangalore,5-9,"['API', 'Python', 'Javascript']",23-10-2023
Applied Materials,Senior Software Engineer,Python,Bangalore,4-7,"['Python', 'Django', 'Flask']",23-10-2023
Arting Digital,System Developer,AWS,Anywhere in India/Multiple Locations,2-6,"['C++', 'Linux', 'Python']",14-10-2023
Vikgol,Golang Developer,Quick Base,MP,2-3,"['Golang', 'Python', 'REST API']",13-10-2023
Matellio,Artificial Intelligence/Machine Learning Engineer,Data Science,Bangalore,5-9,"['Artificial Intelligence', 'Machine Learning', 'R']",01-11-2023
Talent500,Data Architect,Python,Gurgaon/Gurugram,9-12,"['ETL', 'Python', 'Data Architect']",13-10-2023
Paccore software,Data Engineer,Python,Delhi,4-6,"['Azure', 'Python', 'Big Data']",31-10-2023
